Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,"$1,100"
Armadale,"$1,330"
Carlton North,$900
Carlton-Parkville,$960
CBD-St Kilda Rd,-
Collingwood-Abbotsford,-
Docklands,-
East Melbourne,-
East St Kilda,$908
Elwood,"$1,100"
Fitzroy,"$1,100"
Fitzroy North-Clifton Hill,$988
Flemington-Kensington,$798
North Melbourne-West Melbourne,$850
Port Melbourne,"$1,063"
Prahran-Windsor,"$1,200"
Richmond-Burnley,$970
South Melbourne,-
South Yarra,"$1,100"
Southbank,-
St Kilda,"$1,000"
Toorak,"$1,500"
Group Total,"$1,000"
Balwyn,$795
Blackburn,$570
Box Hill,$600
Bulleen-Templestowe-Doncaster,$583
Burwood-Ashburton,$630
Camberwell-Glen Iris,$870
Canterbury-Surrey Hills-Mont Albert,$920
Chadstone-Oakleigh,$600
Clayton,$550
Doncaster East-Donvale,$590
East Hawthorn,$995
Glen Waverley-Mulgrave,$540
Hawthorn,"$1,000"
Kew,$950
Mount Waverley,$580
Nunawading-Mitcham,$530
Vermont-Forest Hill-Burwood East,$520
Group Total,$600
Aspendale-Chelsea-Carrum,$550
Bentleigh,$750
Brighton,"$1,295"
Brighton East,"$1,050"
Carnegie,$775
Caulfield,$850
Cheltenham,$660
Elsternwick,$970
Hampton-Beaumaris,$995
Malvern,$950
Malvern East,$850
Mentone-Parkdale-Mordialloc,$718
Murrumbeena-Hughesdale,$700
Group Total,$800
Altona,$420
Footscray,$505
Keilor East-Avondale Heights,$575
Melton,$360
Newport-Spotswood,$675
St Albans-Deer Park,$400
Sunshine,$400
Sydenham,$450
Werribee-Hoppers Crossing,$395
West Footscray,$520
Williamstown,$820
Yarraville-Seddon,$650
Group Total,$400
Broadmeadows-Roxburgh Park,$430
Brunswick,$825
Coburg-Pascoe Vale South,$650
Craigieburn,$420
East Brunswick,$800
Essendon,$648
Gladstone Park-Tullamarine,$420
Keilor,$495
Moonee Ponds-Ascot Vale,$730
Oak Park-Glenroy-Fawkner,$495
Pascoe Vale-Coburg North,$580
Sunbury,$415
West Brunswick,$715
Group Total,$440
Bundoora-Greensborough-Hurstbridge,$430
Eltham-Research-Montmorency,$580
Fairfield-Alphington,$800
Heidelberg-Heidelberg West,$540
Ivanhoe-Ivanhoe East,$740
Mill Park-Epping,$420
Northcote,$800
Preston,$600
Reservoir,$460
Thomastown-Lalor,$420
Thornbury,$738
Whittlesea,$400
Group Total,$430
Bayswater,$445
Boronia,$465
Croydon-Lilydale,$500
Ferntree Gully,$455
Ringwood,$500
Rowville,$500
Wantirna-Scoresby,$500
Yarra Ranges,$490
Group Total,$495
Berwick,$420
Cranbourne,$410
Dandenong,$525
Dandenong North-Endeavour Hills,$420
Narre Warren-Hampton Park,$420
Noble Park,$400
Pakenham,$385
Springvale,$480
Group Total,$415
Dromana-Portsea,$480
Frankston,$460
Hastings-Flinders,$490
Mt Eliza-Mornington-Mt Martha,$608
Seaford-Carrum Downs,$450
Group Total,$485
Belmont-Grovedale,$430
Corio,$340
Geelong-Newcombe,$460
Herne Hill-Geelong West,$473
Lara,$440
Newtown,$525
North Geelong,$420
Group Total,$430
Ballarat,$360
Mount Clear-Buninyong,$390
Sebastopol-Delacombe,$360
Wendouree-Alfredton,$380
Group Total,$375
Bendigo,$380
Flora Hill-Bendigo East,$380
Golden Square-Kangaroo Flat,$350
North Bendigo,$330
Group Total,$350
Bairnsdale,$375
Benalla,$340
Castlemaine,$400
Echuca,$410
Hamilton,$290
Horsham,$350
Mildura,$353
Moe-Newborough,$300
Morwell,$290
Ocean Grove-Barwon Heads,$470
Portland,$310
Sale-Maffra,$350
Seymour,$363
Shepparton,$380
Swan Hill,$370
Torquay,$550
Traralgon,$370
Wanagaratta,$360
Warragul,$410
Warrnambool,$410
Wodonga,$390
Group Total,$385
