Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,$675
Armadale,$645
Carlton North,$580
Carlton-Parkville,$550
CBD-St Kilda Rd,$429
Collingwood-Abbotsford,$600
Docklands,-
East Melbourne,-
East St Kilda,$595
Elwood,$610
Fitzroy,$645
Fitzroy North-Clifton Hill,$595
Flemington-Kensington,$500
North Melbourne-West Melbourne,$540
Port Melbourne,$600
Prahran-Windsor,$623
Richmond-Burnley,$600
South Melbourne,$600
South Yarra,$635
Southbank,-
St Kilda,$590
Toorak,$648
Group Total,$600
Balwyn,$430
Blackburn,$390
Box Hill,$400
Bulleen-Templestowe-Doncaster,$395
Burwood-Ashburton,$425
Camberwell-Glen Iris,$533
Canterbury-Surrey Hills-Mont Albert,$468
Chadstone-Oakleigh,$410
Clayton,$385
Doncaster East-Donvale,$400
East Hawthorn,$590
Glen Waverley-Mulgrave,$400
Hawthorn,$585
Kew,$520
Mount Waverley,$395
Nunawading-Mitcham,$388
Vermont-Forest Hill-Burwood East,$400
Group Total,$425
Aspendale-Chelsea-Carrum,$400
Bentleigh,$450
Brighton,$620
Brighton East,$520
Carnegie,$430
Caulfield,$520
Cheltenham,$445
Elsternwick,$550
Hampton-Beaumaris,$525
Malvern,$630
Malvern East,$475
Mentone-Parkdale-Mordialloc,$433
Murrumbeena-Hughesdale,$420
Group Total,$470
Altona,$360
Footscray,$450
Keilor East-Avondale Heights,$400
Melton,$275
Newport-Spotswood,$450
St Albans-Deer Park,$320
Sunshine,$320
Sydenham,$350
Werribee-Hoppers Crossing,$315
West Footscray,$373
Williamstown,$480
Yarraville-Seddon,$480
Group Total,$385
Broadmeadows-Roxburgh Park,$340
Brunswick,$530
Coburg-Pascoe Vale South,$450
Craigieburn,$333
East Brunswick,$530
Essendon,$400
Gladstone Park-Tullamarine,$340
Keilor,-
Moonee Ponds-Ascot Vale,$500
Oak Park-Glenroy-Fawkner,$360
Pascoe Vale-Coburg North,$400
Sunbury,$320
West Brunswick,$500
Group Total,$440
Bundoora-Greensborough-Hurstbridge,$360
Eltham-Research-Montmorency,$400
Fairfield-Alphington,$500
Heidelberg-Heidelberg West,$370
Ivanhoe-Ivanhoe East,$425
Mill Park-Epping,$340
Northcote,$570
Preston,$430
Reservoir,$360
Thomastown-Lalor,$340
Thornbury,$520
Whittlesea,$320
Group Total,$390
Bayswater,$345
Boronia,$345
Croydon-Lilydale,$370
Ferntree Gully,$330
Ringwood,$370
Rowville,-
Wantirna-Scoresby,$388
Yarra Ranges,$340
Group Total,$360
Berwick,$340
Cranbourne,$315
Dandenong,$330
Dandenong North-Endeavour Hills,$310
Narre Warren-Hampton Park,$320
Noble Park,$330
Pakenham,$300
Springvale,$350
Group Total,$320
Dromana-Portsea,$320
Frankston,$335
Hastings-Flinders,$340
Mt Eliza-Mornington-Mt Martha,$400
Seaford-Carrum Downs,$330
Group Total,$330
Belmont-Grovedale,$330
Corio,$250
Geelong-Newcombe,$320
Herne Hill-Geelong West,$330
Lara,$300
Newtown,$325
North Geelong,$308
Group Total,$308
Ballarat,$260
Mount Clear-Buninyong,$265
Sebastopol-Delacombe,$250
Wendouree-Alfredton,$260
Group Total,$260
Bendigo,$260
Flora Hill-Bendigo East,$260
Golden Square-Kangaroo Flat,$260
North Bendigo,$255
Group Total,$260
Bairnsdale,$250
Benalla,$230
Castlemaine,$300
Echuca,$280
Hamilton,$230
Horsham,$250
Mildura,$250
Moe-Newborough,$200
Morwell,$190
Ocean Grove-Barwon Heads,$350
Portland,$230
Sale-Maffra,$240
Seymour,$260
Shepparton,$250
Swan Hill,$220
Torquay,$395
Traralgon,$260
Wanagaratta,$250
Warragul,$280
Warrnambool,$283
Wodonga,$273
Group Total,$250
