Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,$790
Armadale,$710
Carlton North,$650
Carlton-Parkville,$670
CBD-St Kilda Rd,$730
Collingwood-Abbotsford,$800
Docklands,$950
East Melbourne,$880
East St Kilda,$569
Elwood,$620
Fitzroy,$780
Fitzroy North-Clifton Hill,$740
Flemington-Kensington,$583
North Melbourne-West Melbourne,$720
Port Melbourne,$850
Prahran-Windsor,$650
Richmond-Burnley,$800
South Melbourne,$720
South Yarra,$800
Southbank,$800
St Kilda,$675
Toorak,$720
Group Total,$750
Balwyn,$600
Blackburn,$475
Box Hill,$515
Bulleen-Templestowe-Doncaster,$535
Burwood-Ashburton,$550
Camberwell-Glen Iris,$630
Canterbury-Surrey Hills-Mont Albert,$600
Chadstone-Oakleigh,$510
Clayton,$480
Doncaster East-Donvale,$470
East Hawthorn,$600
Glen Waverley-Mulgrave,$495
Hawthorn,$665
Kew,$580
Mount Waverley,$515
Nunawading-Mitcham,$480
Vermont-Forest Hill-Burwood East,$460
Group Total,$520
Aspendale-Chelsea-Carrum,$475
Bentleigh,$585
Brighton,$750
Brighton East,$650
Carnegie,$580
Caulfield,$600
Cheltenham,$500
Elsternwick,$580
Hampton-Beaumaris,$685
Malvern,$688
Malvern East,$575
Mentone-Parkdale-Mordialloc,$520
Murrumbeena-Hughesdale,$520
Group Total,$570
Altona,$410
Footscray,$520
Keilor East-Avondale Heights,$450
Melton,$300
Newport-Spotswood,$545
St Albans-Deer Park,$350
Sunshine,$368
Sydenham,$360
Werribee-Hoppers Crossing,$340
West Footscray,$430
Williamstown,$653
Yarraville-Seddon,$560
Group Total,$360
Broadmeadows-Roxburgh Park,$360
Brunswick,$663
Coburg-Pascoe Vale South,$520
Craigieburn,$350
East Brunswick,$680
Essendon,$470
Gladstone Park-Tullamarine,$380
Keilor,-
Moonee Ponds-Ascot Vale,$525
Oak Park-Glenroy-Fawkner,$425
Pascoe Vale-Coburg North,$470
Sunbury,$350
West Brunswick,$570
Group Total,$430
Bundoora-Greensborough-Hurstbridge,$430
Eltham-Research-Montmorency,$458
Fairfield-Alphington,$590
Heidelberg-Heidelberg West,$480
Ivanhoe-Ivanhoe East,$545
Mill Park-Epping,$350
Northcote,$650
Preston,$495
Reservoir,$420
Thomastown-Lalor,$373
Thornbury,$593
Whittlesea,$345
Group Total,$440
Bayswater,$400
Boronia,$410
Croydon-Lilydale,$420
Ferntree Gully,$420
Ringwood,$430
Rowville,$420
Wantirna-Scoresby,$415
Yarra Ranges,$390
Group Total,$420
Berwick,$380
Cranbourne,$340
Dandenong,$400
Dandenong North-Endeavour Hills,$360
Narre Warren-Hampton Park,$365
Noble Park,$380
Pakenham,$325
Springvale,$420
Group Total,$370
Dromana-Portsea,$390
Frankston,$380
Hastings-Flinders,$380
Mt Eliza-Mornington-Mt Martha,$450
Seaford-Carrum Downs,$370
Group Total,$390
Belmont-Grovedale,$378
Corio,$318
Geelong-Newcombe,$350
Herne Hill-Geelong West,$395
Lara,$345
Newtown,$450
North Geelong,$370
Group Total,$370
Ballarat,$305
Mount Clear-Buninyong,$300
Sebastopol-Delacombe,$285
Wendouree-Alfredton,$310
Group Total,$300
Bendigo,$395
Flora Hill-Bendigo East,$310
Golden Square-Kangaroo Flat,$310
North Bendigo,$290
Group Total,$300
Bairnsdale,$280
Benalla,$270
Castlemaine,-
Echuca,$325
Hamilton,-
Horsham,$290
Mildura,$293
Moe-Newborough,$255
Morwell,$220
Ocean Grove-Barwon Heads,$395
Portland,-
Sale-Maffra,$300
Seymour,-
Shepparton,$310
Swan Hill,$300
Torquay,$445
Traralgon,$300
Wanagaratta,$300
Warragul,$320
Warrnambool,$320
Wodonga,$290
Group Total,$310
