Name,Suburb,Latitude,Longitude,Address,ContactNumber,Rating,Website
Clayton Community Centre,Clarinda,-37.9280192,145.1175042,"9-15 Cooke St, Clayton VIC 3168, Australia",(03) 9541 3130,4,http://www.monash.vic.gov.au/Leisure/Community-Halls-Centres/Community-Centres/Clayton-Community-Centre
The Salvation Army Springvale Chinese Corps,Clarinda,-37.954897,145.1581615,"5 View Rd, Springvale VIC 3171, Australia",(03) 9562 4743,5,https://www.salvationarmy.org.au/springvale
Monash University Clayton Campus,Clayton,-37.9105238,145.1362182,"Scenic Blvd & Wellington Road, Clayton VIC 3800, Australia",(03) 9905 4000,4.3,http://monash.edu/
ECCV,Coburg North,-37.7439546,144.9664846,"101/398 Sydney Rd, Coburg VIC 3058, Australia",(03) 9354 9555,5,http://eccv.org.au/
Aveo Mingarra,Croydon,-37.7980062,145.275428,"77-115 Mt Dandenong Rd, Croydon VIC 3136, Australia",13 28 36,3.9,https://www.aveo.com.au/retirement-villages/vic/melbourne/melbourne-east/aveo-mingarra/
Aveo Cherry Tree Grove,Croydon,-37.7879,145.263,"67-81 Maroondah Highway, Croydon VIC 3136, Australia",13 28 36,5,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/aveo-cherry-tree-grove/
Life! program,Docklands,-37.804163,144.9621511,"570 Elizabeth St, Melbourne VIC 3000, Australia",13 74 75,NULL,http://www.lifeprogram.org.au/
Aveo Domain,Doncaster,-37.7833169,145.142377,"31-43 Victoria St, Doncaster VIC 3108, Australia",13 28 36,3.8,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/aveo-domaine/
Aveo Pinetree,Doncaster East,-37.7946731,145.178509,"330 Springvale Rd, Donvale VIC 3111, Australia",13 28 36,2.7,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/aveo-pinetree/
Aveo Roseville,Doncaster East,-37.7757016,145.1589916,"110 King St, Doncaster East VIC 3109, Australia",13 28 36,3.9,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/aveo-roseville/
Mulan Education,Fairfield,-37.8068391,145.0330169,"35 Cotham Rd, Kew VIC 3101, Australia",(03) 8589 9949,NULL,http://www.mulan.com.au/
Aveo Oak Tree Hill,Glen Waverley,-37.8977306,145.1735078,"37/55-57 View Mount Rd, Glen Waverley VIC 3150, Australia",13 28 36,4,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/aveo-oak-tree-hill/
Aveo Hampton Heath,Hampton Park,-38.0364596,145.2684858,"4/42 Coral Dr, Hampton Park VIC 3976, Australia",13 28 36,3.3,http://www.aveo.com.au/retirement-villages/vic/melbourne-south-east/aveo-hampton-heath/
Swinburne University of Technology,Hawthorn,-37.8221504,145.0389546,"John St, Hawthorn VIC 3122, Australia",(03) 9214 8000,4.1,http://www.swinburne.edu.au/
Access Health and Community,Hawthorn East,-37.8228817,145.0368806,"378 Burwood Rd, Hawthorn VIC 3122, Australia",(03) 9810 3000,3.8,http://accesshc.org.au/
Springvale Neighbourhood House Inc.,Heatherton,-37.946701,145.14889,"46-50 Queens Ave, Springvale VIC 3171, Australia",(03) 9548 3972,3.9,http://snh.org.au/
Freedom Chinese Medicine,Heidelberg West,-37.7572061,145.0450998,"261 Waterdale Rd, Ivanhoe VIC 3079, Australia",(03) 9486 5966,5,https://freedomchinesemedicine.com/
Victorian Mental Health Information,Hoppers Crossing,-37.881584,144.683965,"117-129 Warringa Cres, Hoppers Crossing VIC 3029, Australia",(03) 8734 1550,4,http://www.health.vic.gov.au/
Elderly Chinese Home Inc.,Keilor East,-37.7836311,144.9406293,"129 Manningham St, Parkville VIC 3052, Australia",(03) 9328 4558,NULL,http://echinc.com.au/
cohealth Kensington,Kensington,-37.794826,144.929142,"12 Gower St, Kensington VIC 3031, Australia",(03) 9448 5537,4.1,http://cohealth.org.au/
Sackville Grange,Kew East,-37.8108308,145.0594465,"378 Cotham Rd, Kew VIC 3101, Australia",13 28 36,5,http://www.aveo.com.au/retirement-villages/vic/melbourne-east/sackville-grange/
Australia China Connections,Melbourne,-37.815795,144.9646665,"282 Collins St, Melbourne VIC 3000, Australia",(03) 9654 2533,NULL,http://www.chinaconnections.com.au/
Box Hill Community Arts Centre,Mont Albert,-37.8253662,145.1227976,"470 Station St, Box Hill VIC 3128, Australia",(03) 9895 8888,4.4,http://www.bhcac.com.au/
"Chinese School, Chinese Fellowship Victoria",Narre Warren South,-38.0878227,145.2758666,"14 Lesdon Ave, Cranbourne VIC 3977, Australia",0418 882 202,NULL,http://english.chinesefellowship.org.au/
Meat Market,North Melbourne,-37.8016356,144.9543433,"3 Blackwood St, Melbourne VIC 3051, Australia",(03) 9329 9966,4.4,http://www.meatmarket.org.au/
Aveo Veronica Gardens,Northcote,-37.7621962,144.9855713,"25 Veronica St, Northcote VIC 3070, Australia",13 28 36,1.6,http://www.aveo.com.au/retirement-villages/vic/melbourne-north/aveo-veronica-gardens/
CERES Community Environment Park,Northcote,-37.7657843,144.9833435,"Stewart St & Roberts St, Brunswick East VIC 3057, Australia",(03) 9389 0100,4.6,http://ceres.org.au/
Springvale Indo-Chinese Mutual Assistance Association,Notting Hill,-37.946,145.158613,"11/13 Morwell Parade, Springvale VIC 3171, Australia",(03) 9547 6161,NULL,NULL
Elemental Chinese Medicine,Prahran,-37.8399345,144.9941577,"29 Chambers St, South Yarra VIC 3141, Australia",(03) 9077 0062,5,http://www.elementalchinesemedicine.com.au/
Sustainable Homes & Communities,Preston,-37.7401647,145.0043045,"274 Gower St, Preston VIC 3072, Australia",(03) 8470 8373,NULL,http://sustainablecommunities.vic.gov.au
Northern Community Church of Christ,Preston,-37.7497863,145.0018432,"81 High St, Preston VIC 3072, Australia",(03) 9484 4788,4.6,http://nccc.org.au/
Ringwood Uniting Church,Ringwood,-37.816064,145.230224,"30-32 Station St, Ringwood VIC 3134, Australia",(03) 9870 6033,5,http://ringwood.unitingchurch.org.au/
New Community Church Ringwood,Ringwood,-37.819069,145.23042,"32 Greenwood Ave, Ringwood VIC 3134, Australia",(03) 9876 0222,NULL,http://www.ncr.org.au/
Housing For The Aged Action Group,Southbank,-37.81686,144.966145,"247 Flinders Ln, Melbourne VIC 3000, Australia",(03) 9654 7389,NULL,http://www.oldertenants.org.au/
PR Asia,Southbank,-37.8207605,144.9571023,"107E/517 Flinders St, Melbourne VIC 3000, Australia",1300 648 648,NULL,http://prasia.com.au/
Great Wall Insurance Services,Springvale,-37.946171,145.1536927,"205 Springvale Rd, Springvale VIC 3171, Australia",(03) 9574 2833,5,http://www.gwinsurance.com.au/
The Salvation Army Surrey Hills Chinese Corps,Surrey Hills,-37.822038,145.092709,"61/63 Guildford Rd, Surrey Hills VIC 3128, Australia",(03) 9890 6727,NULL,http://www.salvationarmy.org.au/shcc
Woodards Real Estate Thornbury,Thornbury,-37.755043,145.001385,"764/766 High St, Thornbury VIC 3071, Australia",(03) 9480 1277,2.2,http://www.woodards.com.au/
Victoria Grange Residential Community,Vermont South,-37.859129,145.1841767,"502-514 Burwood Hwy, Vermont South VIC 3133, Australia",(03) 9955 4200,4.7,https://www.australianunity.com.au/aged-care/victoria-grange
