Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"133 Melbourne Road, Williamstown VIC 3016",03 9397 5722,Williamstown North Primary School,Primary,Williamstown,http://www.willynthps.vic.edu.au/,3.9
"Davey Street, Frankston VIC 3199",03 9783 3769,Frankston Primary School,Primary,Frankston,http://www.frankstonps.vic.edu.au/,3.3
"2B Brighton Road, St Kilda VIC 3182",03 9534 3993,St Kilda Primary School,Primary,St Kilda,http://www.stkildaps.vic.edu.au/,3.7
"240 Tyler Street, Preston VIC 3072",03 9470 1167,Preston Primary School,Primary,Preston,http://www.preston-ps.vic.edu.au/,3.9
"78 - 98 Manningtree Road, Hawthorn VIC 3122",03 9818 4338,Glenferrie Primary School,Primary,Hawthorn,http://www.glenferrieps.vic.edu.au/,3.9
"59 Wilson Street, Brighton VIC 3186",03 9592 0177,Brighton Primary School,Primary,Brighton,http://www.brighton.vic.edu.au/,4.4
"Golf Links Road, Barwon Heads VIC 3227",03 5254 2324,Barwon Heads Primary School,Primary,Barwon Heads,http://bhps.vic.edu.au/,3.8
"25 Kennedy Street, Keilor VIC 3036",03 9336 7098,Keilor Primary School,Primary,Keilor,http://www.keilorps.vic.edu.au/,3.5
"20 Warrigal Road, Oakleigh VIC 3166",03 9568 0558,Oakleigh Primary School,Primary,Oakleigh,https://www.oakleighps.vic.edu.au/,4.6
"Spring Road, Malvern VIC 3144",03 8823 9500,Malvern Central School,Primary,Malvern,http://www.malvern-central.vic.edu.au/,2.4
"1224 Howitt Street, Wendouree VIC 3355",03 5339 1229,Wendouree Primary School,Primary,Wendouree,http://www.wendoureeps.vic.edu.au/,5
"Lithgow Street, Abbotsford VIC 3067",03 9428 5977,Abbotsford Primary School,Primary,Abbotsford,http://www.abbotsfordps.vic.edu.au/,4
"Hornby Street, Windsor VIC 3181",03 9521 3711,Windsor Primary School,Primary,Windsor,http://www.windsorps.vic.edu.au/,3.8
"10 Hyde Street, Footscray VIC 3011",03 9687 2826,Footscray City Primary School,Primary,Footscray,http://www.fcps.vic.edu.au/,4.9
"48 Blossom Park Drive, Mill Park VIC 3082",03 9404 4311,Plenty Parklands Primary School,Primary,Mill Park,http://www.plentyparklands-ps.vic.edu.au/,3.9
"Vale Street, Mornington VIC 3931",03 5976 5500,Mornington Primary School,Primary,Mornington,http://www.morningtonps.vic.edu.au/,4
"19 Windermere Crescent, Brighton VIC 3186",03 9591 0888,Brighton Beach Primary School,Primary,Brighton,http://www.brightonbeachps.vic.edu.au/,4.5
"270 Barker Street, Castlemaine VIC 3450",03 5472 1391,Castlemaine North Primary School,Primary,Castlemaine,http://www.castlemainenorthps.vic.edu.au/,3.9
"130 Grimshaw Street, Greensborough VIC 3088",03 9435 1496,Greensborough Primary School,Primary,Greensborough,http://greensborough.vic.edu.au/,4.4
"Bakewell Street, Cranbourne VIC 3977",03 5996 1744,Cranbourne Primary School,Primary,Cranbourne,http://www.cranbourne-ps.vic.edu.au/,4.1
"2425-2435 Plenty Road, Whittlesea VIC 3757",03 9716 2140,Whittlesea Primary School,Primary,Whittlesea,http://whittleseaps.vic.edu.au/,3.7
"44 Bowen Street, Warragul VIC 3820",03 5623 2460,Warragul Primary School,Primary,Warragul,https://warragulps.vic.edu.au/,4
"40 Albert Street, Moe VIC 3825",03 5127 1966,Moe (Albert Street) Primary School,Primary,Moe,http://www.aspsmoe.vic.edu.au/,4
"Birch Street, Bayswater VIC 3153",03 9721 3755,Bayswater Primary School,Primary,Bayswater,http://www.bayswaterps.vic.edu.au/,4.6
"Gladeswood Drive, Mulgrave VIC 3170",03 9795 2477,Mulgrave Primary School,Primary,Mulgrave,http://mulgraveps.vic.edu.au/,4.4
"Mccracken Street, Kensington VIC 3031",03 9376 6013,Kensington Primary School,Primary,Kensington,http://www.kensingtonps.vic.edu.au/,4.3
"122 Waterdale Road, Ivanhoe VIC 3079",03 9499 1880,Ivanhoe Primary School,Primary,Ivanhoe,http://www.ivanhoeps.vic.edu.au/,4.3
"68 Fitzroy Street, St Kilda VIC 3182",03 8598 6444,St Kilda Park Primary School,Primary,St Kilda,http://www.skipps.vic.edu.au/,5
"215 Rathdowne Street, Carlton VIC 3053",03 9663 6502,Carlton Gardens Primary School,Primary,Carlton,http://carltongardens.vic.edu.au/,4.5
"Bank Street, Ascot Vale VIC 3032",03 9370 6507,Ascot Vale Primary School,Primary,Ascot Vale,http://www.avps.vic.edu.au/,4.6
"9-23 Densham Road, Armadale VIC 3143",03 9822 7003,Armadale Primary School,Primary,Armadale,http://www.armadaleps.vic.edu.au/,4.2
"Langridge Street, Fairfield VIC 3078",03 9489 2966,Fairfield Primary School,Primary,Fairfield,http://fairfieldps.vic.edu.au/,3.5
"2 Beatrice Avenue, Surrey Hills VIC 3127",03 9890 1560,Surrey Hills Primary School,Primary,Surrey Hills,http://www.surreyhillsps.vic.edu.au/,4.6
"100 Montague Street, South Melbourne VIC 3205",03 9690 3535,Montague Continuing Education Centre,Special,South Melbourne,http://www.montague.vic.edu.au/,4
"194 Richardson Street, Middle Park VIC 3206",03 9690 1336,Middle Park Primary School,Primary,Middle Park,http://www.middleparkps.vic.edu.au/,3.6
"30 Powell Street, Yarraville VIC 3013",03 9314 3816,Yarraville West Primary School,Primary,Yarraville,http://www.ywps.vic.edu.au/,3.7
"157-163 Moreland Road, Coburg VIC 3058",03 9386 2510,Moreland Primary School,Primary,Coburg,http://www.morelandps.vic.edu.au/,5
