Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,685,Metropolitan Region,Carnegie
MULTIPOLYGON,1,23,Metropolitan Region,Caroline Springs
MULTIPOLYGON,1,5,Metropolitan Region,Carrum
MULTIPOLYGON,1,9,Metropolitan Region,Carrum Downs
MULTIPOLYGON,1,0,Metropolitan Region,Castella
MULTIPOLYGON,1,0,Metropolitan Region,Catani
MULTIPOLYGON,1,65,Metropolitan Region,Caulfield
MULTIPOLYGON,1,245,Metropolitan Region,Caulfield East
MULTIPOLYGON,1,159,Metropolitan Region,Caulfield North
MULTIPOLYGON,1,65,Metropolitan Region,Caulfield South
MULTIPOLYGON,1,248,Metropolitan Region,Chadstone
MULTIPOLYGON,1,13,Metropolitan Region,Chelsea
MULTIPOLYGON,1,0,Metropolitan Region,Chelsea Heights
MULTIPOLYGON,1,80,Metropolitan Region,Cheltenham (Vic.)
MULTIPOLYGON,1,22,Metropolitan Region,Chirnside Park
MULTIPOLYGON,1,0,Metropolitan Region,Christmas Hills (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Chum Creek
MULTIPOLYGON,1,48,Metropolitan Region,Clarinda
MULTIPOLYGON,1,0,Metropolitan Region,Clarkefield
MULTIPOLYGON,1,2950,Metropolitan Region,Clayton
MULTIPOLYGON,1,267,Metropolitan Region,Clayton South
MULTIPOLYGON,1,0,Metropolitan Region,Clematis
MULTIPOLYGON,1,5,Metropolitan Region,Clifton Hill
MULTIPOLYGON,1,0,Metropolitan Region,Clonbinane
MULTIPOLYGON,1,0,Metropolitan Region,Clyde (Vic.)
MULTIPOLYGON,1,5,Metropolitan Region,Clyde North
MULTIPOLYGON,1,117,Metropolitan Region,Coburg
MULTIPOLYGON,1,37,Metropolitan Region,Coburg North
MULTIPOLYGON,1,3,Metropolitan Region,Cockatoo (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Cocoroc
MULTIPOLYGON,1,0,Metropolitan Region,Coimadai
MULTIPOLYGON,1,0,Metropolitan Region,Coldstream (Vic.)
MULTIPOLYGON,1,63,Metropolitan Region,Collingwood (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Coolaroo
MULTIPOLYGON,1,0,Metropolitan Region,Cora Lynn
MULTIPOLYGON,1,0,Metropolitan Region,Cottles Bridge
MULTIPOLYGON,1,16,Metropolitan Region,Craigieburn
MULTIPOLYGON,1,15,Metropolitan Region,Cranbourne
MULTIPOLYGON,1,18,Metropolitan Region,Cranbourne East
MULTIPOLYGON,1,15,Metropolitan Region,Cranbourne North
MULTIPOLYGON,1,0,Metropolitan Region,Cranbourne South
MULTIPOLYGON,1,4,Metropolitan Region,Cranbourne West
MULTIPOLYGON,1,0,Metropolitan Region,Cremorne (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Crib Point
