Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,4,Metropolitan Region,Rosebud
MULTIPOLYGON,1,0,Metropolitan Region,Rosebud West
MULTIPOLYGON,1,74,Metropolitan Region,Rowville
MULTIPOLYGON,1,17,Metropolitan Region,Roxburgh Park
MULTIPOLYGON,1,0,Metropolitan Region,Rye
MULTIPOLYGON,1,0,Metropolitan Region,Rythdale
MULTIPOLYGON,1,0,Metropolitan Region,Safety Beach (Vic.)
MULTIPOLYGON,1,7,Metropolitan Region,Sandhurst
MULTIPOLYGON,1,11,Metropolitan Region,Sandringham (Vic.)
MULTIPOLYGON,1,3,Metropolitan Region,Sassafras (Vic.)
MULTIPOLYGON,1,18,Metropolitan Region,Scoresby
MULTIPOLYGON,1,14,Metropolitan Region,Seabrook
MULTIPOLYGON,1,12,Metropolitan Region,Seaford (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Seaholme
MULTIPOLYGON,1,7,Metropolitan Region,Seddon (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Selby
MULTIPOLYGON,1,0,Metropolitan Region,Seville
MULTIPOLYGON,1,0,Metropolitan Region,Seville East
MULTIPOLYGON,1,0,Metropolitan Region,Sherbrooke
MULTIPOLYGON,1,0,Metropolitan Region,Shoreham
MULTIPOLYGON,1,0,Metropolitan Region,Silvan
MULTIPOLYGON,1,6,Metropolitan Region,Skye (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Smiths Gully
MULTIPOLYGON,1,0,Metropolitan Region,Somers
MULTIPOLYGON,1,0,Metropolitan Region,Somerton (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Somerville (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Sorrento (Vic.)
MULTIPOLYGON,1,3,Metropolitan Region,South Kingsville
MULTIPOLYGON,1,97,Metropolitan Region,South Melbourne
MULTIPOLYGON,1,12,Metropolitan Region,South Morang
MULTIPOLYGON,1,0,Metropolitan Region,South Wharf
MULTIPOLYGON,1,631,Metropolitan Region,South Yarra
MULTIPOLYGON,1,1189,Metropolitan Region,Southbank
MULTIPOLYGON,1,3,Metropolitan Region,Spotswood
MULTIPOLYGON,1,153,Metropolitan Region,Springvale (Vic.)
MULTIPOLYGON,1,27,Metropolitan Region,Springvale South
MULTIPOLYGON,1,41,Metropolitan Region,St Albans (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,St Andrews (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,St Andrews Beach
MULTIPOLYGON,1,3,Metropolitan Region,St Helena
MULTIPOLYGON,1,78,Metropolitan Region,St Kilda (Vic.)
MULTIPOLYGON,1,27,Metropolitan Region,St Kilda East
MULTIPOLYGON,1,0,Metropolitan Region,St Kilda West
MULTIPOLYGON,1,0,Metropolitan Region,Steels Creek
MULTIPOLYGON,1,0,Metropolitan Region,Strathewen
MULTIPOLYGON,1,19,Metropolitan Region,Strathmore (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Strathmore Heights
MULTIPOLYGON,1,5,Metropolitan Region,Sunbury
MULTIPOLYGON,1,24,Metropolitan Region,Sunshine (Vic.)
MULTIPOLYGON,1,9,Metropolitan Region,Sunshine North
MULTIPOLYGON,1,40,Metropolitan Region,Sunshine West
MULTIPOLYGON,1,110,Metropolitan Region,Surrey Hills
MULTIPOLYGON,1,19,Metropolitan Region,Sydenham (Vic.)
MULTIPOLYGON,1,27,Metropolitan Region,Tarneit
MULTIPOLYGON,1,0,Metropolitan Region,Tarrawarra
MULTIPOLYGON,1,6,Metropolitan Region,Taylors Hill
MULTIPOLYGON,1,8,Metropolitan Region,Taylors Lakes
MULTIPOLYGON,1,0,Metropolitan Region,Tecoma
MULTIPOLYGON,1,130,Metropolitan Region,Templestowe
MULTIPOLYGON,1,84,Metropolitan Region,Templestowe Lower
MULTIPOLYGON,1,0,Metropolitan Region,The Basin (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,The Patch
MULTIPOLYGON,1,28,Metropolitan Region,Thomastown
MULTIPOLYGON,1,29,Metropolitan Region,Thornbury
MULTIPOLYGON,1,0,Metropolitan Region,Three Bridges
MULTIPOLYGON,1,0,Metropolitan Region,Tonimbuk
MULTIPOLYGON,1,0,Metropolitan Region,Toolangi
MULTIPOLYGON,1,0,Metropolitan Region,Toolern Vale
MULTIPOLYGON,1,0,Metropolitan Region,Tooradin
MULTIPOLYGON,1,72,Metropolitan Region,Toorak
MULTIPOLYGON,1,0,Metropolitan Region,Toorongo
MULTIPOLYGON,1,0,Metropolitan Region,Tootgarook
MULTIPOLYGON,1,0,Metropolitan Region,Tottenham (Vic.)
MULTIPOLYGON,1,128,Metropolitan Region,Travancore
MULTIPOLYGON,1,0,Metropolitan Region,Tremont
MULTIPOLYGON,1,51,Metropolitan Region,Truganina
MULTIPOLYGON,1,0,Metropolitan Region,Tuerong
MULTIPOLYGON,1,5,Metropolitan Region,Tullamarine
MULTIPOLYGON,1,4,Metropolitan Region,Tyabb
MULTIPOLYGON,1,0,Metropolitan Region,Tynong
MULTIPOLYGON,1,0,Metropolitan Region,Tynong North
MULTIPOLYGON,1,0,Metropolitan Region,Upper Ferntree Gully
MULTIPOLYGON,1,0,Metropolitan Region,Upper Plenty
MULTIPOLYGON,1,3,Metropolitan Region,Upwey
MULTIPOLYGON,1,68,Metropolitan Region,Vermont
MULTIPOLYGON,1,137,Metropolitan Region,Vermont South
MULTIPOLYGON,1,0,Metropolitan Region,Vervale
MULTIPOLYGON,1,25,Metropolitan Region,Viewbank
MULTIPOLYGON,1,0,Metropolitan Region,Wallan
MULTIPOLYGON,1,0,Metropolitan Region,Wandin East
MULTIPOLYGON,1,0,Metropolitan Region,Wandin North
MULTIPOLYGON,1,92,Metropolitan Region,Wantirna
MULTIPOLYGON,1,164,Metropolitan Region,Wantirna South
MULTIPOLYGON,1,0,Metropolitan Region,Warburton (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Warneet
MULTIPOLYGON,1,12,Metropolitan Region,Warrandyte
MULTIPOLYGON,1,3,Metropolitan Region,Warrandyte South
MULTIPOLYGON,1,5,Metropolitan Region,Warranwood
MULTIPOLYGON,1,38,Metropolitan Region,Waterways
MULTIPOLYGON,1,12,Metropolitan Region,Watsonia
MULTIPOLYGON,1,6,Metropolitan Region,Watsonia North
MULTIPOLYGON,1,0,Metropolitan Region,Watsons Creek (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Wattle Glen
MULTIPOLYGON,1,22,Metropolitan Region,Werribee
MULTIPOLYGON,1,0,Metropolitan Region,Werribee South
MULTIPOLYGON,1,0,Metropolitan Region,Wesburn
MULTIPOLYGON,1,19,Metropolitan Region,West Footscray
MULTIPOLYGON,1,190,Metropolitan Region,West Melbourne
MULTIPOLYGON,1,0,Metropolitan Region,Westmeadows
MULTIPOLYGON,1,216,Metropolitan Region,Wheelers Hill
MULTIPOLYGON,1,0,Metropolitan Region,Whittlesea
MULTIPOLYGON,1,0,Metropolitan Region,Wildwood
MULTIPOLYGON,1,53,Metropolitan Region,Williams Landing
MULTIPOLYGON,1,6,Metropolitan Region,Williamstown (Vic.)
MULTIPOLYGON,1,5,Metropolitan Region,Williamstown North
MULTIPOLYGON,1,26,Metropolitan Region,Windsor (Vic.)
MULTIPOLYGON,1,12,Metropolitan Region,Wollert
MULTIPOLYGON,1,5,Metropolitan Region,Wonga Park
MULTIPOLYGON,1,0,Metropolitan Region,Woods Point (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Woodstock (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Woori Yallock
MULTIPOLYGON,1,8,Metropolitan Region,Wyndham Vale
MULTIPOLYGON,1,5,Metropolitan Region,Yallambie
MULTIPOLYGON,1,0,Metropolitan Region,Yan Yean
MULTIPOLYGON,1,0,Metropolitan Region,Yannathan
MULTIPOLYGON,1,0,Metropolitan Region,Yarra Glen
MULTIPOLYGON,1,0,Metropolitan Region,Yarra Junction
MULTIPOLYGON,1,0,Metropolitan Region,Yarrambat
MULTIPOLYGON,1,19,Metropolitan Region,Yarraville
MULTIPOLYGON,1,0,Metropolitan Region,Yellingbo
MULTIPOLYGON,1,0,Metropolitan Region,Yering
MULTIPOLYGON,1,0,Metropolitan Region,Yuroke
