,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number
193,ALFREDTON,2,0,0
194,LYNBROOK,2,0,0
195,MOUNT EVELYN,3,1,0
196,GISBORNE,3,1,0
197,DELAHEY,1,1,0
198,BROADFORD,1,1,0
199,COWES,2,0,0
200,ROSANNA,4,1,0
201,TAYLORS HILL,1,1,0
202,BEACONSFIELD,1,1,0
203,HEALESVILLE,3,1,1
204,STRATHMORE,3,1,0
205,KORUMBURRA,2,1,0
206,REDAN,1,0,0
207,MURRUMBEENA,2,0,0
208,KEILOR,3,1,0
209,BEAUMARIS,2,0,0
210,DONVALE,2,2,1
211,ALBANVALE,1,0,0
212,ASPENDALE,1,0,1
213,KEALBA,1,0,0
214,TRAFALGAR,2,1,0
215,LEONGATHA,2,2,1
216,KINGSBURY,2,0,0
217,NIDDRIE,3,3,0
218,HUGHESDALE,1,0,0
219,UPWEY,2,1,0
220,SPOTSWOOD,1,0,0
221,BAXTER,1,0,0
222,MIDDLE PARK,1,0,0
223,DIGGERS REST,1,0,0
224,ALPHINGTON,3,1,0
225,VERMONT,4,1,0
226,BELGRAVE,1,1,0
227,WOODEND,3,1,0
228,BONBEACH,1,0,0
229,GLEN HUNTLY,2,0,0
230,HAMLYN HEIGHTS,2,0,0
231,EDITHVALE,1,0,0
232,CLYDE,2,0,0
233,ORMOND,3,1,1
234,STRATHDALE,3,1,0
235,STRATHDALE,3,1,0
236,OAK PARK,1,0,0
237,BALLAN,2,0,0
238,LONGWARRY,1,0,0
239,CHELSEA HEIGHTS,1,0,0
240,UPPER FERNTREE GULLY,1,0,0
241,DAYLESFORD,3,1,0
242,MONTMORENCY,3,1,0
243,CRESWICK,3,0,0
244,MONTROSE,2,0,0
245,BLACK ROCK,2,0,0
246,CANTERBURY,3,4,0
247,CLARINDA,2,1,0
248,MCKINNON,0,1,0
249,ROMSEY,1,1,0
250,ST LEONARDS,1,0,0
251,LYSTERFIELD,1,0,0
252,DRYSDALE,3,2,0
