Id,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number
191,WHEELERS HILL,5,1,0
192,CHELSEA,2,0,0
193,ELSTERNWICK,5,3,0
194,CHURCHILL,3,0,0
195,WANTIRNA,3,1,0
196,KYABRAM,2,2,0
197,ARMADALE,2,1,0
198,BALWYN NORTH,6,1,0
199,SOMERVILLE,3,0,0
200,SANDRINGHAM,3,1,0
201,KILSYTH,4,0,0
202,HADFIELD,1,0,0
203,DROMANA,1,1,1
204,BLACKBURN,3,1,0
205,SPRINGVALE SOUTH,2,0,0
206,CARLTON NORTH,2,0,0
207,DERRIMUT,1,0,0
208,STAWELL,3,1,1
209,SCORESBY,2,1,0
210,WATSONIA,2,1,0
211,FAIRFIELD,1,0,0
212,GLADSTONE PARK,3,1,0
213,HAWTHORN EAST,2,2,0
214,EAGLEHAWK,3,1,0
215,CASTLEMAINE,5,2,0
216,DIAMOND CREEK,4,1,0
217,ALBION,2,0,0
218,FOREST HILL,1,0,0
219,BALWYN,4,3,1
220,MOUNT ELIZA,4,1,0
221,BURWOOD EAST,0,1,1
222,DELACOMBE,1,0,0
223,PARKDALE,1,0,0
224,SYDENHAM,2,1,0
225,RINGWOOD EAST,2,1,0
226,HIGHTON,4,1,0
227,ASHWOOD,1,1,2
228,BRIGHTON EAST,3,2,0
229,VERMONT SOUTH,2,1,1
230,PATTERSON LAKES,1,0,0
231,WHITTINGTON,1,0,1
232,MACLEOD,1,1,0
233,ARDEER,2,0,0
234,TORQUAY,2,0,0
235,KYNETON,2,2,0
236,DALLAS,5,4,0
237,MOUNT MARTHA,2,0,0
238,TEMPLESTOWE,4,0,0
239,KINGS PARK,1,0,0
240,TEMPLESTOWE LOWER,1,1,0
241,BULLEEN,2,1,1
242,FRANKSTON SOUTH,3,1,0
243,ASHBURTON,3,0,0
244,MICKLEHAM,1,0,0
245,BOX HILL NORTH,1,0,0
246,CAULFIELD SOUTH,5,3,0
247,KNOXFIELD,2,0,0
248,OAKLEIGH SOUTH,2,1,0
249,CALIFORNIA GULLY,1,0,0
250,WHITTLESEA,2,1,0
251,CAIRNLEA,1,0,0
252,OCEAN GROVE,3,0,0
253,KERANG,3,2,0
254,LEOPOLD,1,0,0
255,YARRAWONGA,1,1,0
256,BLACKBURN SOUTH,2,0,0
257,BALLARAT EAST,1,0,0
258,CAULFIELD,2,1,0
259,DINGLEY VILLAGE,2,0,0
260,AVONDALE HEIGHTS,2,0,0
261,HEATHMONT,2,1,0
262,SURREY HILLS,4,0,0
263,ALFREDTON,2,0,0
264,LYNBROOK,2,0,0
265,MOUNT EVELYN,3,1,0
266,GISBORNE,3,1,0
267,DELAHEY,1,1,0
268,BROADFORD,1,1,0
269,COWES,2,0,0
270,ROSANNA,4,1,0
271,TAYLORS HILL,1,1,0
272,BOX HILL SOUTH,1,0,0
273,BEACONSFIELD,1,1,0
274,HEALESVILLE,3,1,1
275,STRATHMORE,3,1,0
276,KORUMBURRA,2,1,0
277,KIALLA,1,0,0
278,REDAN,1,0,0
279,ROBINVALE,2,2,0
280,MURRUMBEENA,2,0,0
281,KEILOR,3,1,0
282,BEAUMARIS,2,0,0
283,DONVALE,2,2,1
284,ALBANVALE,1,0,0
285,CAPEL SOUND,1,0,0
286,ASPENDALE,1,0,1
287,KEALBA,1,0,0
288,TRAFALGAR,2,1,0
289,LEONGATHA,2,2,1
290,KINGSBURY,2,0,0
291,NUMURKAH,2,1,0
292,NIDDRIE,3,3,0
293,RED CLIFFS,3,1,0
294,HUGHESDALE,1,0,0
295,NOBLE PARK NORTH,1,1,0
296,UPWEY,2,1,0
297,KENNINGTON,1,0,0
298,IRYMPLE,4,3,0
299,SPOTSWOOD,1,0,0
300,BAXTER,1,0,0
301,MIDDLE PARK,1,0,0
302,DIGGERS REST,1,0,0
303,OAKLEIGH EAST,2,0,0
304,EPSOM,1,0,0
305,TATURA,3,0,0
306,MAFFRA,2,1,0
307,ALPHINGTON,3,1,0
308,VERMONT,4,1,0
309,BELGRAVE,1,1,0
310,WOODEND,3,1,0
311,BONBEACH,1,0,0
312,GLEN HUNTLY,2,0,0
313,HAMLYN HEIGHTS,2,0,0
314,EDITHVALE,1,0,0
315,CAULFIELD EAST,0,1,0
316,CLYDE,2,0,0
317,NARRE WARREN NORTH,3,0,0
318,ORMOND,3,1,1
319,STRATHDALE,3,1,0
320,OAK PARK,1,0,0
321,BLACKBURN NORTH,2,0,0
322,MANSFIELD,3,2,1
323,BALLAN,2,0,0
324,LONGWARRY,1,0,0
325,ORBOST,3,1,0
326,CHELSEA HEIGHTS,1,0,0
327,UPPER FERNTREE GULLY,1,0,0
328,KEW EAST,1,1,0
329,ROCHESTER,2,1,0
330,MERBEIN,1,0,0
331,DAYLESFORD,3,1,0
332,MONTMORENCY,3,1,0
333,CRESWICK,3,0,0
334,WHITE HILLS,2,0,0
335,MONTROSE,2,0,0
336,BLACK ROCK,2,0,0
337,CANTERBURY,3,4,0
338,CLARINDA,2,1,0
339,TERANG,2,1,0
340,MCKINNON,0,1,0
341,MYRTLEFORD,1,1,0
342,ROMSEY,1,1,0
343,WARRACKNABEAL,2,1,1
344,ST LEONARDS,1,0,0
345,LYSTERFIELD,1,0,0
346,DRYSDALE,3,2,0
347,KINGSVILLE,1,0,1
348,ST ARNAUD,1,1,0
349,YARRAM,2,1,0
350,INVERLOCH,2,0,0
351,RINGWOOD NORTH,3,0,0
352,THE BASIN,2,0,0
353,EUROA,2,1,0
354,PORTARLINGTON,1,0,0
355,KOO WEE RUP,2,1,0
356,EMERALD,1,1,0
357,HEATHCOTE,2,0,0
358,MONT ALBERT,1,0,0
359,BUNINYONG,2,0,0
360,QUARRY HILL,1,0,0
361,BEVERIDGE,1,0,0
362,MOUNT CLEAR,2,1,0
363,BALLARAT NORTH,2,0,0
364,CRIB POINT,3,0,0
365,YARRAGON,1,0,0
366,WARRANDYTE,2,0,0
367,CAMPERDOWN,2,2,0
368,SEABROOK,1,0,0
369,LOVELY BANKS,1,1,0
370,TRAVANCORE,0,0,1
371,PEARCEDALE,1,0,0
372,ALEXANDRA,2,1,0
373,YALLOURN NORTH,1,0,0
374,BARWON HEADS,1,0,0
375,VIEWBANK,1,0,0
376,BITTERN,1,0,0
377,APOLLO BAY,1,1,0
378,NAGAMBIE,2,0,0
379,BANNOCKBURN,2,1,0
380,HERNE HILL,0,1,0
381,ASPENDALE GARDENS,1,0,0
382,WINCHELSEA,1,0,0
383,SORRENTO,2,0,0
384,LANCEFIELD,2,0,0
385,MAIDEN GULLY,2,1,0
386,TYABB,3,1,0
387,PAYNESVILLE,1,0,0
388,WARBURTON,2,0,0
389,LOWER PLENTY,1,0,0
390,HEYFIELD,2,0,0
391,HURSTBRIDGE,2,0,0
392,ROSEDALE,1,0,0
393,TONGALA,2,0,0
394,LAKE WENDOUREE,1,0,0
395,PRINCES HILL,0,1,0
396,YALLAMBIE,1,0,0
397,PORT FAIRY,2,0,0
398,NATHALIA,2,2,0
399,IVANHOE EAST,1,0,0
