,Suburb,School_Total,Crime Number,Buy Price 2017
202,GLEN IRIS,6.0,665,2030000
194,FRANKSTON NORTH,1.0,665,470000
502,TOORAK,4.0,660,5050000
211,GROVEDALE,5.0,656,432000
114,CLIFTON HILL,3.0,653,1390000
117,CLYDE NORTH,1.0,650,565000
321,MENTONE,8.0,650,1090000
344,MORDIALLOC,3.0,649,1150000
371,NEWCOMB,3.0,648,371000
286,LAVERTON,1.0,644,535000
113,CLAYTON SOUTH,4.0,642,861500
306,MALVERN,4.0,641,2657500
391,OFFICER,3.0,639,512500
50,BENTLEIGH,4.0,630,1450000
133,CRANBOURNE EAST,2.0,628,540000
174,ELTHAM,6.0,615,928500
4,ALBERT PARK,1.0,605,2150000
333,MITCHAM,5.0,599,1068500
9,ALTONA,3.0,595,950000
548,WONTHAGGI,4.0,591,289000
279,LAKES ENTRANCE,4.0,586,281500
198,GEELONG WEST,2.0,574,650000
254,KEILOR DOWNS,2.0,565,667500
94,CARNEGIE,1.0,563,1502500
373,NEWPORT,3.0,554,1072500
101,CAULFIELD NORTH,2.0,547,2260000
370,NEWBOROUGH,3.0,535,220000
119,COBRAM,5.0,533,257500
468,ST KILDA EAST,4.0,527,1460000
255,KEILOR EAST,2.0,523,847000
207,GOLDEN SQUARE,1.0,514,320000
263,KILMORE,5.0,510,385000
383,NUNAWADING,2.0,510,1090000
439,RYE,3.0,507,659000
210,GREENVALE,3.0,502,650000
217,HAMPTON,1.0,502,2017500
537,WHEELERS HILL,6.0,496,1160000
105,CHELSEA,2.0,487,930000
173,ELSTERNWICK,5.0,485,2000000
110,CHURCHILL,3.0,483,175000
522,WANTIRNA,4.0,482,950000
274,KYABRAM,2.0,482,239500
16,ARMADALE,2.0,480,2107500
32,BALWYN NORTH,7.0,479,1950000
456,SOMERVILLE,3.0,474,580000
441,SANDRINGHAM,4.0,473,1850000
264,KILSYTH,4.0,473,710000
212,HADFIELD,1.0,471,745000
161,DROMANA,3.0,470,687500
58,BLACKBURN,4.0,469,1410000
463,SPRINGVALE SOUTH,2.0,467,730000
93,CARLTON NORTH,2.0,456,1628000
150,DERRIMUT,1.0,450,635000
471,STAWELL,5.0,446,186500
